experiment,label,AP,AP5,AP75,AP_M,AP_L,AR,AR5,AR75,AR_M,AR_L
standard,clean_0,0.7214629728067458,0.915237997858988,0.8012597059751317,0.6949424345482939,0.7633114216387776,0.7539515113350126,0.9283690176322418,0.820528967254408,0.7230538104343076,0.8006688963210703
standard,gaussian_noise_0,0.6145279208982358,0.8526074017288207,0.6752680551804685,0.5482659356064409,0.7139736768021434,0.6511964735516373,0.8698047858942065,0.7068639798488665,0.5778748975689704,0.7549609810479376
standard,gaussian_noise_1,0.5559846083195434,0.8089576345348359,0.6005966053716981,0.46752037272886643,0.6791703343579171,0.5930415617128464,0.8265113350125944,0.6349181360201511,0.5003277792952745,0.7231140839836493
standard,gaussian_noise_2,0.47082091141063775,0.7342775057928238,0.5066751548873945,0.36626669411269464,0.6148010833916879,0.509493073047859,0.756926952141058,0.5409319899244333,0.39754165528544116,0.6643998513563731
standard,gaussian_noise_3,0.36469262639607686,0.6281567952711766,0.3653251334110403,0.2460235917103478,0.5237994312208386,0.4031171284634761,0.6520780856423174,0.40601385390428213,0.27705544933078396,0.5757710888145671
standard,gaussian_noise_4,0.23808665849756921,0.4604671395710313,0.21996867902219938,0.12444267089298924,0.39015049036955307,0.2745434508816121,0.49732367758186397,0.2636964735516373,0.1524446872439224,0.44165737643998515
standard,shot_noise_0,0.6369824728316252,0.872563108134491,0.7068974146065069,0.5762333879926153,0.725759098043831,0.6725283375314862,0.8868073047858942,0.7339420654911839,0.6065829008467631,0.7662207357859531
standard,shot_noise_1,0.5757366798593165,0.8289117965415269,0.6311104293453297,0.4953274100666881,0.6865871162316154,0.611712846347607,0.8408375314861462,0.6607367758186398,0.5270144769188747,0.7303604607952434
standard,shot_noise_2,0.49715308142746023,0.7662249169154541,0.5283898749002073,0.39881171632632206,0.6309209835892806,0.5349968513853904,0.7813287153652393,0.5683249370277078,0.4307293089319858,0.6795615013006316
standard,shot_noise_3,0.3710202511421612,0.6397762020856089,0.37659764375934185,0.2520318897000038,0.5314362017682015,0.410705289672544,0.6665617128463476,0.42018261964735515,0.28484020759355366,0.5837978446674099
standard,shot_noise_4,0.288561153581928,0.5439896696734401,0.26935030383635605,0.175408134955938,0.4406817205838578,0.32651133501259444,0.5725755667506297,0.31863979848866497,0.20426113083856873,0.49386845039018945
standard,impulse_noise_0,0.5973254852492548,0.8409871427244666,0.6552521567179133,0.5299655796796912,0.6936501808728013,0.6331391687657429,0.8556360201511335,0.6868702770780857,0.560693799508331,0.735934596804162
standard,impulse_noise_1,0.5348823818614211,0.797990688454833,0.5773313603379839,0.4452136236303109,0.656638157920768,0.5723394206549118,0.8137594458438288,0.6114609571788413,0.4785304561595193,0.7027499070977332
standard,impulse_noise_2,0.48369947648233447,0.7554250052961821,0.5135787810305337,0.3848836528555863,0.6191402473479939,0.5231895465994961,0.7747166246851386,0.552896725440806,0.41843758535919157,0.6681902638424377
standard,impulse_noise_3,0.36991601456247153,0.6388669904376207,0.37186257330043754,0.25485829277333705,0.5245628886948595,0.40898929471032747,0.663727959697733,0.416404282115869,0.2858235454793772,0.5777777777777777
standard,impulse_noise_4,0.2552893365180616,0.48947293800010894,0.23654097607454866,0.14328718894278908,0.4038514289204336,0.29245906801007554,0.5253463476070529,0.28211586901763225,0.17350450696531,0.4549981419546637
standard,defocus_blur_0,0.5865401547955481,0.849853504501781,0.6412030788069645,0.48672409713116305,0.7222722758061187,0.6248740554156171,0.866971032745592,0.6728589420654912,0.5236001092597651,0.7663693794128577
standard,defocus_blur_1,0.5235901185580533,0.7962327558600707,0.5570276350863776,0.39691615239490335,0.6940356221006226,0.563727959697733,0.8162783375314862,0.5954030226700252,0.435536738596012,0.7416202155332591
standard,defocus_blur_2,0.41829360991603376,0.6908334216509922,0.42591893445933254,0.2592950387411342,0.6310737890839803,0.4590837531486146,0.7150503778337531,0.46977329974811083,0.2953291450423382,0.6840208101077666
standard,defocus_blur_3,0.3376053460987371,0.5948737311052764,0.33614560886770123,0.15995069154516114,0.5697949001876397,0.3766845088161209,0.6209068010075567,0.3790931989924433,0.19371756350723845,0.6270531400966185
standard,defocus_blur_4,0.2691524663083042,0.49237468784953137,0.26159758920070847,0.09422615046433311,0.5004562016676103,0.30647040302267003,0.52455919395466,0.3021095717884131,0.12070472548484021,0.5602749907097734
standard,glass_blur_0,0.5777063304089435,0.8513292586384124,0.6308604070571106,0.4786799414650089,0.7148787064938181,0.616404282115869,0.8698047858942065,0.6634130982367759,0.5137394154602568,0.7595317725752507
standard,glass_blur_1,0.5319681167927127,0.8083174767301634,0.5681960134209616,0.409423954871903,0.6961319983802897,0.570103904282116,0.8290302267002518,0.6037468513853904,0.4450969680415187,0.7438498699368266
standard,glass_blur_2,0.36737658546594315,0.6586381763389196,0.3642985471744383,0.1965748912587598,0.5908443203735341,0.4078872795969774,0.6802581863979849,0.4105793450881612,0.23397978694345806,0.6464882943143813
standard,glass_blur_3,0.3465173731463839,0.6179637140873085,0.3408511301471961,0.17413000647761617,0.5731119494521638,0.38583123425692695,0.6445214105793451,0.38727959697733,0.20773012838022392,0.6301003344481605
standard,glass_blur_4,0.2819638655913627,0.5257294551120287,0.2702906745824875,0.10876312519457565,0.5094198737970067,0.3206234256926952,0.5584068010075567,0.31816750629722923,0.13859601201857413,0.5695280564845782
standard,motion_blur_0,0.609485479251591,0.8707251995074344,0.6702513585843135,0.51263443983376,0.7417892013982049,0.646536523929471,0.8852329974811083,0.7007241813602015,0.5504780114722754,0.7811965811965812
standard,motion_blur_1,0.5071311202506189,0.8051675880065368,0.5205594679608818,0.3646140778855727,0.6976150842548793,0.5491026448362721,0.8216309823677582,0.5637594458438288,0.4072384594373122,0.7450761798587886
standard,motion_blur_2,0.3797762957802446,0.6678990499480846,0.3745823658567265,0.20354269501505562,0.6140205929386897,0.4239609571788413,0.6983627204030227,0.4245906801007557,0.24400437039060363,0.6709030100334448
standard,motion_blur_3,0.26879162573252313,0.5368582577449433,0.24266205453328238,0.09626036870486472,0.4945868132873826,0.3120119647355163,0.5719458438287154,0.2972292191435768,0.12999180551761813,0.5607209215904868
standard,motion_blur_4,0.21257928310537463,0.4540938872176323,0.18093891642195942,0.05809496772498276,0.4123262188523353,0.2532430730478589,0.49511964735516373,0.2307934508816121,0.08647910406992625,0.4807506503158677
standard,zoom_blur_0,0.26875098394649827,0.5089174515095665,0.2542666859273481,0.12451822533330088,0.46347978505727905,0.30642317380352646,0.5360516372795969,0.3006926952141058,0.1448784485113357,0.527238944630249
standard,zoom_blur_1,0.18495557182909772,0.40409959499539216,0.1442115818366882,0.07170223050251856,0.33791027418886666,0.22148929471032747,0.43073047858942065,0.1980478589420655,0.08396612947282164,0.40932738758825715
standard,zoom_blur_2,0.14709737426986327,0.3627743126921773,0.09469477828756634,0.06083407095225036,0.2655980978065463,0.18698047858942068,0.39955919395465994,0.15239294710327456,0.07656378038787216,0.3379041248606466
standard,zoom_blur_3,0.10137888730649598,0.28765675926478507,0.04474502702225852,0.037201847743357164,0.1899742026747956,0.1379250629722922,0.32824307304785894,0.09760705289672544,0.049740508057907674,0.25830546265328874
standard,zoom_blur_4,0.08189930173750293,0.2573914475675266,0.027367114427012014,0.03881032459699479,0.14486500229896498,0.12018261964735517,0.3024244332493703,0.07745591939546599,0.052909041245561325,0.21211445559271644
standard,snow_0,0.6057682784961232,0.8513267001388255,0.6632032681242036,0.5587112806933175,0.6731526586012164,0.6411209068010075,0.8639798488664987,0.6969458438287154,0.5884457798415734,0.7164994425863991
standard,snow_1,0.5126150999768812,0.7771873445485816,0.5460510977615125,0.4514155510990335,0.6003565415315454,0.5502676322418136,0.7958123425692695,0.5850125944584383,0.48019666757716467,0.6483463396506874
standard,snow_2,0.4994389803811893,0.7756210109099663,0.5334159958980395,0.44976144783305255,0.5712480635245953,0.5377518891687658,0.7906171284634761,0.5747795969773299,0.4794591641627971,0.619472315124489
standard,snow_3,0.41740843680781947,0.7008085410037662,0.4264310087351982,0.361841002182646,0.4980943782958213,0.45802896725440806,0.7221347607052897,0.4748110831234257,0.3935536738596012,0.5474173169825344
standard,snow_4,0.42766079446210176,0.7111112215788115,0.43787498053543655,0.3667599473735038,0.5149299037095421,0.46985201511335006,0.7381926952141058,0.48740554156171284,0.39816989893471727,0.5693422519509476
standard,frost_0,0.619359252871081,0.8599690657951898,0.6809780845462389,0.5620119477718434,0.7000118433905516,0.6562972292191436,0.8753148614609572,0.71205919395466,0.5952198852772467,0.7435154217762915
standard,frost_1,0.5377611049730775,0.7959370221173112,0.5840110589978711,0.47111643705548134,0.6328331193016856,0.5779439546599496,0.8173803526448362,0.6204345088161209,0.5054629882545751,0.6794128576737273
standard,frost_2,0.4771319039857477,0.7523231206868126,0.49945928396928607,0.4056087121338659,0.5775949955447076,0.5194741813602015,0.7789672544080605,0.5459697732997482,0.44108167167440604,0.6282794500185804
standard,frost_3,0.46184244331870516,0.7408350849793801,0.480678200084767,0.3886600342568503,0.5628581221121441,0.503463476070529,0.7654282115869018,0.5269206549118388,0.4236001092597652,0.6141211445559271
standard,frost_4,0.4184153984648097,0.6880308499294738,0.42818779678354896,0.34252115203502853,0.5254757702854727,0.46237405541561716,0.7191435768261965,0.4776448362720403,0.3781207320404261,0.5785209959123002
standard,fog_0,0.6325478407221204,0.8721814671028516,0.7046713562557836,0.571852707652055,0.7226705849021581,0.6694741813602014,0.8847607052896725,0.7301637279596978,0.6035509423654739,0.7632850241545893
